FileName,AcousticScene
scenes_stereo/scenes_stereo/bus01.wav,bus
scenes_stereo/scenes_stereo/bus02.wav,bus
scenes_stereo/scenes_stereo/bus03.wav,bus
scenes_stereo/scenes_stereo/bus04.wav,bus
scenes_stereo/scenes_stereo/bus05.wav,bus
scenes_stereo/scenes_stereo/bus06.wav,bus
scenes_stereo/scenes_stereo/bus07.wav,bus
scenes_stereo/scenes_stereo/bus08.wav,bus
scenes_stereo/scenes_stereo/busystreet01.wav,busystreet
scenes_stereo/scenes_stereo/busystreet02.wav,busystreet
scenes_stereo/scenes_stereo/busystreet03.wav,busystreet
scenes_stereo/scenes_stereo/busystreet04.wav,busystreet
scenes_stereo/scenes_stereo/busystreet05.wav,busystreet
scenes_stereo/scenes_stereo/busystreet06.wav,busystreet
scenes_stereo/scenes_stereo/busystreet07.wav,busystreet
scenes_stereo/scenes_stereo/busystreet08.wav,busystreet
scenes_stereo/scenes_stereo/office01.wav,office
scenes_stereo/scenes_stereo/office02.wav,office
scenes_stereo/scenes_stereo/office03.wav,office
scenes_stereo/scenes_stereo/office04.wav,office
scenes_stereo/scenes_stereo/office05.wav,office
scenes_stereo/scenes_stereo/office06.wav,office
scenes_stereo/scenes_stereo/office07.wav,office
scenes_stereo/scenes_stereo/office08.wav,office
scenes_stereo/scenes_stereo/park01.wav,park
scenes_stereo/scenes_stereo/park02.wav,park
scenes_stereo/scenes_stereo/park03.wav,park
scenes_stereo/scenes_stereo/park04.wav,park
scenes_stereo/scenes_stereo/park05.wav,park
scenes_stereo/scenes_stereo/park06.wav,park
scenes_stereo/scenes_stereo/park07.wav,park
scenes_stereo/scenes_stereo/park08.wav,park
scenes_stereo/scenes_stereo/quietstreet01.wav,quietstreet
scenes_stereo/scenes_stereo/quietstreet02.wav,quietstreet
scenes_stereo/scenes_stereo/quietstreet03.wav,quietstreet
scenes_stereo/scenes_stereo/quietstreet04.wav,quietstreet
scenes_stereo/scenes_stereo/quietstreet05.wav,quietstreet
scenes_stereo/scenes_stereo/quietstreet06.wav,quietstreet
scenes_stereo/scenes_stereo/quietstreet07.wav,quietstreet
scenes_stereo/scenes_stereo/quietstreet08.wav,quietstreet
scenes_stereo/scenes_stereo/restaurant01.wav,restaurant
scenes_stereo/scenes_stereo/restaurant02.wav,restaurant
scenes_stereo/scenes_stereo/restaurant03.wav,restaurant
scenes_stereo/scenes_stereo/restaurant04.wav,restaurant
scenes_stereo/scenes_stereo/restaurant05.wav,restaurant
scenes_stereo/scenes_stereo/restaurant06.wav,restaurant
scenes_stereo/scenes_stereo/restaurant07.wav,restaurant
scenes_stereo/scenes_stereo/restaurant08.wav,restaurant
scenes_stereo/scenes_stereo/supermarket01.wav,supermarket
scenes_stereo/scenes_stereo/supermarket02.wav,supermarket
scenes_stereo/scenes_stereo/supermarket03.wav,supermarket
scenes_stereo/scenes_stereo/supermarket04.wav,supermarket
scenes_stereo/scenes_stereo/supermarket05.wav,supermarket
scenes_stereo/scenes_stereo/supermarket06.wav,supermarket
scenes_stereo/scenes_stereo/supermarket07.wav,supermarket
scenes_stereo/scenes_stereo/supermarket08.wav,supermarket


